altitude,air_temperature,specific_humidity,rhi,latitude,contrail_formed
7353.799999999999,240.60982,0.00016093424,0.3473727486896268,38.70245361328125,0
7582.4,238.63904,0.00016437341,0.4241632803561152,38.68148803710938,0
7582.4,238.58423,0.00016478501,0.427751571049556,38.66005073159427,0
7582.4,238.55208,0.00016544014,0.4309470662592978,38.63863670219809,0
7582.4,238.53087,0.00016628343,0.434137858991696,38.61570739746094,0
7582.4,238.52808,0.00016746564,0.43735634635606624,38.59231567382812,0
7582.4,238.52489,0.00016836367,0.43985332969072855,38.56838937533104,0
7582.4,238.5218,0.00016941292,0.442742051201775,38.543701171875,0
7582.4,238.51837,0.00017046122,0.4456473024097328,38.51895089876854,0
7582.4,238.51352,0.00017123179,0.4478965118634914,38.49440002441406,0
7582.4,238.50458,0.00017318685,0.45344936356949866,38.46965207891949,0
7582.4,238.49751,0.00017547434,0.45978945024591544,38.44404602050781,0
7582.4,238.48395,0.00017903146,0.4697994490445141,38.41853772179555,0
7582.4,238.46938,0.0001826365,0.48001538627763696,38.3931884765625,0
7582.4,238.45189,0.00018478339,0.48657754718030477,38.36723327636719,0
7582.4,238.4424,0.00018600862,0.49030684455155504,38.33464050292969,0
7582.4,238.43462,0.0001885516,0.49742916173561014,38.30243644067797,0
7582.4,238.42932,0.0001910666,0.5043529915410152,38.27096712791313,0
7582.4,238.42331,0.00019403419,0.5125197187813906,38.23852021815413,0
7582.4,238.41573,0.0001966824,0.5199407303583442,38.20449053230932,0
7582.4,238.41487,0.00019833329,0.5243541035647619,38.16874694824219,0
7582.4,238.41792,0.00019977883,0.5280009205816125,38.13275353383209,0
7582.4,238.42412,0.00020201909,0.5335640420212823,38.09683227539062,0
7582.4,238.43285,0.00020370459,0.5375078863057076,38.06112670898438,0
7582.4,238.44374,0.00020401995,0.5377058917107939,38.02464294433594,0
7582.4,238.45364,0.00020554996,0.5411582616280001,37.98788296974311,0
7582.4,238.45741,0.00020961929,0.5516460212215363,37.95050152277542,0
7582.4,238.46419,0.0002120701,0.5576871317502041,37.91312007580773,0
7582.4,238.4741,0.00021327408,0.5602516108746622,37.87564552436441,0
7582.4,238.48776,0.00021369159,0.5605202849727546,37.83612267445709,0
7582.4,238.5018,0.00021430432,0.5612739891572384,37.79791259765625,0
7582.4,238.5176,0.00021441668,0.5606097253998773,37.760009765625,0
7582.4,238.5209,0.00021515024,0.562326208299666,37.72337315446239,0
7582.4,238.5226,0.00021660519,0.5660252747234752,37.68635559082031,0
7582.4,238.52715,0.00021777286,0.5687973265168197,37.64964294433594,0
7582.4,238.53601,0.00021743285,0.5673652220813356,37.61247253417969,0
7582.4,238.54945,0.00021610201,0.5630737943588682,37.57487151582362,0
7582.4,238.56549,0.00021500512,0.5592454478571709,37.53717041015625,0
7582.4,238.58513,0.00021464436,0.5571229998994369,37.49917602539062,0
7582.4,238.58983,0.0002176012,0.5645105514385559,37.46072542869438,0
7582.4,238.59857,0.00021863542,0.5666580197008905,37.42017842955509,0
7582.4,238.61252,0.00021914617,0.5671261571077632,37.37986419160487,0
7582.4,238.63248,0.00021877178,0.5649377651634674,37.33936374470339,0
7582.4,238.65634,0.00021757196,0.5603923309110217,37.29867708885063,0
7582.4,238.68524,0.00021563524,0.5536737753771597,37.2580369852357,0
7582.4,238.70386,0.00021850207,0.5599079597996093,37.21707101595604,0
7582.4,238.7136,0.00022324153,0.5714515603586026,37.18704482256356,0
7582.4,238.72562,0.00022726599,0.5809991018325751,37.16020202636719,0
7582.4,238.7424,0.00022983905,0.5865135710891486,37.13296508789062,0
7582.4,238.76213,0.00023282386,0.5928656797920089,37.10545349121094,0
7582.4,238.81152,0.00023766803,0.6019843800055591,37.05041400456832,0
7582.4,238.84088,0.00023950475,0.6047192722603416,37.02264404296875,0
7582.4,238.86691,0.00024298078,0.611775012284551,36.9943651102357,0
7582.4,238.88718,0.00024864284,0.6246653509491853,36.96592712402344,0
7582.4,238.90875,0.00025391608,0.6364317584375642,36.93771103681144,0
7582.4,238.9483,0.00025605725,0.6390677637032901,36.89814163466631,0
7582.4,238.99884,0.00025775572,0.6398138181270602,36.85281372070312,0
7582.4,239.05522,0.00025903058,0.6390865461780704,36.80744934082031,0
7582.4,239.11273,0.00025971045,0.6368096988424303,36.76276772709216,0
7582.4,239.16643,0.00026303023,0.6412356997458107,36.71751895193326,0
7582.4,239.22205,0.00026743498,0.6480856068859606,36.67259604243909,0
7582.4,239.28186,0.0002713799,0.6534306172156503,36.62813865532309,0
7582.4,239.34598,0.00027457302,0.6565811295611821,36.58309936523438,0
7582.4,239.41205,0.00027721602,0.6582152275016417,36.53773420948093,0
7582.4,239.47696,0.00028177936,0.6644062847338166,36.49229922537076,0
7582.4,239.53618,0.00028767536,0.6740148452902789,36.44654846191406,0
7582.4,239.59782,0.00029233628,0.6804233976181351,36.39994812011719,0
7582.4,239.65964,0.00029664594,0.6858969760694527,36.35389942233845,0
7582.4,239.72417,0.0003009744,0.6911121624335161,36.3072075278072,0
7582.4,239.78795,0.0003048825,0.6953228395176083,36.2607421875,0
7582.4,239.84789,0.00030897575,0.7001550572877187,36.21418762207031,0
7582.4,239.9054,0.00031306982,0.7050833819836442,36.16850280761719,0
7582.4,239.96799,0.00031746124,0.7102073041979239,36.1214640989142,0
7582.4,240.03082,0.00032150632,0.714444904736443,36.07514462228549,0
7582.4,240.09778,0.00032606235,0.7194080811662962,36.028564453125,0
7582.4,240.1621,0.00033049844,0.7242088847279922,35.98146057128906,0
7582.4,240.22092,0.00033447536,0.7283407905335347,35.93423099841102,0
7582.4,240.28131,0.0003384457,0.7322572852198697,35.88698047702595,0
7582.4,240.34225,0.0003426917,0.7366457780752154,35.83982849121094,0
7582.4,240.40564,0.00034701152,0.740913979023306,35.79229322530455,0
7582.4,240.46645,0.00035165742,0.7459893748560269,35.74415821140095,0
7582.4,240.51402,0.0003560553,0.7515062903868698,35.69630251092426,0
7582.4,240.55835,0.00036025533,0.7567953503249405,35.64820861816406,0
7582.4,240.60207,0.00036480368,0.7627965803939977,35.59977722167969,0
7582.4,240.64407,0.00036965663,0.7695023639355157,35.55203712592691,0
7582.4,240.68642,0.00037505073,0.7772276249191935,35.50479125976562,0
7582.4,240.71884,0.0003797462,0.7842526578687034,35.45791625976562,0
7582.4,240.7517,0.0003849866,0.7923062692911506,35.40898209911282,0
7582.4,240.78387,0.00039097984,0.8018974705340796,35.36154536877648,0
7582.4,240.81612,0.0003974488,0.8123820026347242,35.31349182128906,0
7582.4,240.85118,0.00040432214,0.823362064374892,35.26527534096927,0
7582.4,240.88365,0.00041295137,0.8380436500638494,35.21731567382812,0
7582.4,240.91776,0.00042234524,0.8540144039874205,35.16893005371094,0
7582.4,240.95094,0.0004313609,0.869181982377623,35.12021856792902,0
7582.4,240.98674,0.00044054934,0.8843363141658132,35.07287494206832,0
7582.4,241.02173,0.00044892958,0.8978240279349602,35.02301749536547,0
7582.4,241.05704,0.0004577377,0.9120241695197209,34.9757080078125,0
7574.780000000001,241.1544,0.00046773793,0.9233994250694232,34.92938232421875,0
7582.4,241.13045,0.0004747287,0.9385571961586405,34.88241577148438,0
7582.4,241.16862,0.00048357554,0.9521930024485135,34.83536542472193,0
7582.4,241.20726,0.00049314747,0.9670806472462175,34.7889993958554,0
7582.4,241.24776,0.00050352945,0.9832215135350121,34.74156188964844,0
